City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Tamandare,BR,79.79,overcast clouds,-8.7597,-35.1047,
421,Jeremie,HT,87.55,broken clouds,18.65,-74.1167,
422,Sampit,ID,73.51,light rain,-2.5333,112.95,
423,Krasnoselkup,RU,38.14,overcast clouds,65.7,82.4667,
424,Ust-Omchug,RU,35.11,clear sky,61.15,149.6333,
425,Muravlenko,RU,39.65,overcast clouds,63.7898,74.523,
426,Prudentopolis,BR,63.14,overcast clouds,-25.2131,-50.9778,
427,Belyy Yar,RU,57.09,light intensity shower rain,53.6039,91.3903,
428,Goderich,CA,74.91,overcast clouds,43.7501,-81.7165,
429,Kibala,TD,79.27,light rain,9.1104,18.3463,
430,Genhe,CN,48.27,overcast clouds,50.7833,121.5167,
